"Source:","/home/graham/work/Schematic_PCB/KiCAD/kiCAD_projects/KiCAD_Audio_General/KiCAD_SpeakerProtection/KiCAD_SpeakerProtection_Mono_v1.0/KiCAD_SpeakerProtection_Mono_v1.0.sch"
"Date:","Mon 26 Jun 2023 18:51:34 BST"
"Tool:","Eeschema 7.0.5-1.fc38"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","61"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C5","3","1uF/50V","CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","",""
"C7, C8","2","100uF/25V","CP-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","",""
"C11","1","220uF/16V","CP-Device","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","","",""
"C12, C13","2","470uF/16V","CP-Device","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","",""
"C16, C17","2","100n","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"D1, D5, D7, D9, D10","5","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35","",""
"D11, D12","2","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"D13, D14","2","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P5.08mm_Vertical_KathodeUp","1000V 1A General Purpose Rectifier Diode, DO-41","",""
"H1, H2, H3, H4, H5","5","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3","Mounting Hole without connection","",""
"J1","1","Mute Control","Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2","1","LED","Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","AC_In","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","DC_In","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","DC_Out","Conn_01x03","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"Power_Gnd1","1","Spade_6.3mm","Spade_6.3mm","AA_GR_KICAD-footprints:SPADE_TERMINAL_6.3MM","Lucar (Lucas) spade connector","",""
"Q1, Q2, Q3","3","BC547","BC547","Package_TO_SOT_THT:TO-92L_Inline_Wide","0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92","",""
"Q4","1","BC517","BC517","Package_TO_SOT_THT:TO-92L_Inline_Wide","1A Ic, 30V Vce, Darlington NPN Transistor, TO-92","",""
"R1","1","3K3","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R3, R5, R7","3","8K2","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R8, R10","2","330K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R12","1","18K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R14, R15, R16, R17","4","47K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R18","1","47R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R19, R20","2","680R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R21","1","100K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"R23, R24","2","1K2","R","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical","Resistor","",""
"RL1, RL2","2","0R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor","",""
"RLY_1","1","G5LE-14_DC12","G5LE-1","Relay_THT:Relay_SPDT_Omron-G5LE-1","Omron G5LE relay, Miniature Single Pole, SPDT, 10A","",""
"SP_Live1","1","Spade_6.3mm","Spade_6.3mm","AA_GR_KICAD-footprints:SPADE_TERMINAL_6.3MM","Lucar (Lucas) spade connector","",""
"SP_Neutral1","1","Spade_6.3mm","Spade_6.3mm","AA_GR_KICAD-footprints:SPADE_TERMINAL_6.3MM","Lucar (Lucas) spade connector","",""
"SP_PA_In_1","1","Spade_6.3mm","Spade_6.3mm","AA_GR_KICAD-footprints:SPADE_TERMINAL_6.3MM","Lucar (Lucas) spade connector","",""
"SP_Spkr_Out_1","1","Spade_6.3mm","Spade_6.3mm","AA_GR_KICAD-footprints:SPADE_TERMINAL_6.3MM","Lucar (Lucas) spade connector","",""
"TR1","1","RS_Transformer_1P_2S","RS_Transformer_1P_2S","AA_GR_KICAD-footprints:RS_Transformer_3.2VA","Transformer, single primary, dual secondary","",""
"U1","1","LM358","LM358","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8","",""
"ZD1","1","Zener_6v8","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Zener diode","",""
